order_no,order_date,ship_date,ship_delay_days,customer_name,address,city,state,customer_type,account_manager,order_priority,product_name,product_category,product_container,ship_mode,order_quantity,cost_price,retail_price,discount_pct,shipping_cost,sub_total,discount_amount,order_total,total,cogs,gross_profit,profit_after_shipping,sub_total_raw,discount_amount_raw,order_total_raw,total_raw,order_year,order_month,order_quarter,q_ship_before_order,q_discount_pct_bad,q_sub_total_mismatch,q_discount_amount_mismatch,q_order_total_mismatch,q_total_mismatch,q_profit_margin_mismatch
4293-1,2014-09-02,2014-09-04,2,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,23,156.5,300.97,2.0,7.18,6922.31,138.4462,6783.8638,6791.0438,3599.5,3184.3638,3177.1838000000002,4533.52,194.83,4757.22,4291.55,2014,9,3,False,False,True,True,True,True,False
5001-1,2015-10-24,2015-10-26,2,Shahid Hopkins,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Medium,Bagged Rubber Bands,Office Supplies,Small Pack,Regular Air,8,0.24,1.26,3.0,0.7,10.08,0.3024,9.7776,10.477599999999999,1.92,7.8576,7.1575999999999995,45.2,0.0,45.9,46.91,2015,10,4,False,False,True,True,True,True,False
5004-1,2014-03-13,2014-03-13,0,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Not Specified,TechSavi Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,45,42.11,80.98,4.0,7.18,3644.1000000000004,145.764,3498.3360000000002,3505.516,1894.95,1603.3860000000002,1596.2060000000001,873.32,72.23,837.57,82.58,2014,3,1,False,False,True,True,True,True,False
5009-1,2013-02-18,2013-02-20,2,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Regular Air,16,5.33,8.6,1.0,6.19,137.6,1.376,136.224,142.414,85.28,50.94399999999999,44.75399999999999,73.52,4.35,740.67,730.92,2013,2,1,False,False,True,True,True,True,False
5010-1,2014-09-13,2014-09-17,4,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Express Air,49,1.53,2.78,7.0,1.34,136.22,9.535400000000001,126.6846,128.0246,74.97,51.714600000000004,50.3746,138.46,5.95,123.77,125.97,2014,9,3,False,False,False,True,True,False,False
5011-1,2013-11-24,2013-11-26,2,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,45,4.59,7.28,8.0,11.15,327.6,26.208000000000002,301.392,312.542,206.54999999999998,94.84200000000001,83.69200000000001,197.36,12.98,183.58,189.43,2013,11,4,False,False,True,True,True,True,False
5012-1,2014-09-07,2014-09-07,0,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,45,1.6,2.62,4.0,0.8,117.9,4.716,113.18400000000001,113.98400000000001,72.0,41.18400000000001,40.384000000000015,65.5,5.9,59.62,60.45,2014,9,3,False,False,True,True,True,True,False
5012-1,2015-01-28,2015-01-29,1,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Smiths Metal Binder Clips,Technology,Small Box,Regular Air,34,1.6,2.62,2.0,0.8,89.08,1.7816,87.2984,88.0984,54.400000000000006,32.898399999999995,32.0984,24.92,2.49,22.43,27.43,2015,1,1,False,False,True,True,True,True,False
5014-1,2014-06-08,2014-06-10,2,John Lee,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,25,3.99,6.23,10.0,6.97,155.75,15.575000000000001,140.175,147.145,99.75,40.42500000000001,33.45500000000001,194.36,15.93,178.12,189.45,2014,6,2,False,False,True,False,True,True,False
5015-1,2014-10-02,2014-10-04,2,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Corporate,Natasha Song,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,42,156.5,300.97,4.0,7.18,12640.740000000002,505.6296000000001,12135.110400000001,12142.290400000002,6573.0,5562.110400000001,5554.930400000001,1079.62,30.83,1753.33,1705.42,2014,10,4,False,False,True,True,True,True,False
