order_no,order_date,ship_date,customer_name,product_name,q_ship_before_order,q_discount_pct_bad,q_sub_total_mismatch,q_discount_amount_mismatch,q_order_total_mismatch,q_total_mismatch,q_profit_margin_mismatch
4293-1,2014-09-02,2014-09-04,Vivek Sundaresam,UGen Ultra Professional Cordless Optical Suite,False,False,True,True,True,True,False
5001-1,2015-10-24,2015-10-26,Shahid Hopkins,Bagged Rubber Bands,False,False,True,True,True,True,False
5004-1,2014-03-13,2014-03-13,Dennis Pardue,TechSavi Cordless Navigator Duo,False,False,True,True,True,True,False
5009-1,2013-02-18,2013-02-20,Sean Wendt,Artisan Printable Repositionable Plastic Tabs,False,False,True,True,True,True,False
5010-1,2014-09-13,2014-09-17,Christina Vanderzanden,Pizazz Drawing Pencil Set,False,False,False,True,True,False,False
5011-1,2013-11-24,2013-11-26,Patrick OBrill,"Alto Parchment Paper, Assorted Colors",False,False,True,True,True,True,False
5012-1,2014-09-07,2014-09-07,Eugene Moren,Smiths Metal Binder Clips,False,False,True,True,True,True,False
5012-1,2015-01-28,2015-01-29,Phillip Flathmann,Smiths Metal Binder Clips,False,False,True,True,True,True,False
5014-1,2014-06-08,2014-06-10,John Lee,Artisan Hole Reinforcements,False,False,True,False,True,True,False
5015-1,2014-10-02,2014-10-04,Ritsa Hightower,UGen Ultra Professional Cordless Optical Suite,False,False,True,True,True,True,False
5015-1,2014-04-01,2014-04-02,Anne Pryor,UGen Ultra Professional Cordless Optical Suite,False,False,True,True,True,True,False
5016-1,2013-02-11,2013-02-12,Alex Russell,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",False,False,True,True,True,True,False
5018-1,2013-12-29,2013-12-22,Lena Creighton,TypeRight Side-Opening Peel & Seel Expanding Envelopes,True,False,True,True,True,True,False
5019-1,2013-11-18,2013-11-20,Phillip Flathmann,Artisan 487 Labels,False,False,True,True,True,True,False
5019-1,2013-02-13,2013-02-15,Susan Vittorini,Cando CCalored Accent Highlighters,False,False,True,True,True,True,False
5019-1,2013-02-13,2013-02-15,Susan Vittorini,Cando S750 Color Inkjet Printer,False,False,True,True,True,True,False
5020-1,2015-05-11,2015-05-13,Bill Stewart,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",False,False,True,True,True,True,False
5021-1,2015-05-18,2015-05-25,Brian DeCherney,TechSavi Access Keyboard,False,False,True,True,True,True,False
